R64,R32,S16,E8,F4,NCG
11Syracuse-28.1%,8Creighton-4.6%,11St. Bonaventure-1.3%,16Radford-0.5%,16Radford-0.2%,7Nevada-0.1%
12South Dakota State-23.8%,12Murray State-4.5%,11Syracuse-1.3%,16Texas Southern-0.5%,16Texas Southern-0.2%,11San Diego State-0.1%
11St. Bonaventure-21.9%,14SF Austin-4.4%,15Georgia State-1.2%,11San Diego State-0.5%,11Loyola-Chicago-0.2%,16Radford-0.1%
12Davidson-20.4%,11Syracuse-4.2%,12Davidson-1.1%,11Loyola-Chicago-0.5%,11San Diego State-0.2%,11St. Bonaventure-0.1%
12Murray State-17.2%,9Kansas State-4.0%,16Penn-1.1%,12Davidson-0.4%,12Davidson-0.2%,12Davidson-0.1%
14SF Austin-14.3%,12South Dakota State-3.8%,12South Dakota State-1.0%,11St. Bonaventure-0.4%,11St. Bonaventure-0.2%,16Texas Southern-0.1%
13Marshall-13.4%,13Marshall-3.6%,15Lipscomb-1.0%,12New Mexico State-0.4%,12South Dakota State-0.2%,12South Dakota State-0.1%
13Charleston-12.9%,13Charleston-3.4%,15CSU Fullerton-1.0%,12South Dakota State-0.4%,12New Mexico State-0.2%,13Marshall-0.1%
13Buffalo-9.6%,13Buffalo-2.9%,14SF Austin-0.9%,15Georgia State-0.4%,13Marshall-0.2%,12New Mexico State-0.1%
14Wright State-9.2%,14Wright State-2.8%,15Iona-0.9%,13Marshall-0.3%,15Georgia State-0.1%,13Buffalo-0.1%
13UNCG-7.3%,15Georgia State-2.6%,16UMBC-0.8%,12Murray State-0.3%,15Lipscomb-0.1%,15Georgia State-0.1%
15Georgia State-6.9%,13UNCG-2.5%,16Texas Southern-0.8%,13Buffalo-0.3%,15Iona-0.1%,15Lipscomb-0.1%
14Montana-6.5%,14Bucknell-2.4%,16Radford-0.8%,15Lipscomb-0.3%,12Murray State-0.1%,15Iona-0.1%
14Bucknell-6.0%,14Montana-2.3%,13Marshall-0.8%,14SF Austin-0.3%,13Buffalo-0.1%,12Murray State-0.1%
16Penn-4.7%,16Penn-2.1%,12Murray State-0.8%,15CSU Fullerton-0.3%,13Charleston-0.1%,13UNCG-0.1%
15CSU Fullerton-4.2%,15Lipscomb-1.8%,13Charleston-0.8%,15Iona-0.3%,14Montana-0.1%,13Charleston-0.1%
15Lipscomb-4.0%,15CSU Fullerton-1.8%,13Buffalo-0.8%,13UNCG-0.3%,14SF Austin-0.1%,14Wright State-0.1%
15Iona-4.0%,15Iona-1.7%,13UNCG-0.7%,13Charleston-0.3%,14Bucknell-0.1%,14Montana-0.1%
16Texas Southern-3.3%,16Texas Southern-1.5%,14Wright State-0.7%,14Montana-0.3%,15CSU Fullerton-0.1%,14SF Austin-0.1%
16UMBC-3.2%,16UMBC-1.4%,14Montana-0.7%,14Bucknell-0.3%,13UNCG-0.1%,14Bucknell-0.1%
16Radford-3.0%,16Radford-1.4%,14Bucknell-0.7%,14Wright State-0.3%,14Wright State-0.1%,15CSU Fullerton-0.1%
