Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
12 Cornell - 33.0%,10 Saint Mary's - 3.7%,10 Saint Mary's - 0.9%,13 Siena - 0.2%,9 Florida State - 0.1%,7 Clemson - 0.0%
11 Minnesota - 32.4%,10 Florida - 3.5%,9 Florida State - 0.8%,9 Wake Forest - 0.2%,16 Vermont - 0.1%,8 UNLV - 0.0%
9 Wake Forest - 31.7%,10 Missouri - 3.1%,12 UTEP - 0.8%,10 Saint Mary's - 0.2%,16 East Tennessee State - 0.1%,9 Northern Iowa - 0.0%
8 California - 29.8%,11 San Diego State - 2.5%,12 Utah State - 0.6%,12 UTEP - 0.2%,9 Wake Forest - 0.1%,16 Vermont - 0.0%
12 UTEP - 29.4%,13 Houston - 2.2%,9 Wake Forest - 0.5%,16 Lehigh - 0.2%,7 Richmond - 0.1%,12 UTEP - 0.0%
11 Washington - 25.8%,8 California - 2.2%,11 San Diego State - 0.4%,16 Vermont - 0.2%,12 UTEP - 0.1%,16 East Tennessee State - 0.0%
11 San Diego State - 24.3%,12 New Mexico State - 2.2%,13 Murray State - 0.4%,16 East Tennessee State - 0.2%,13 Siena - 0.1%,9 Wake Forest - 0.0%
12 Utah State - 21.2%,11 Old Dominion - 2.0%,9 Northern Iowa - 0.3%,16 AR-Pine Bluff - 0.2%,8 UNLV - 0.1%,13 Siena - 0.0%
13 Murray State - 18.8%,9 Florida State - 1.8%,11 Old Dominion - 0.3%,12 Utah State - 0.1%,9 Northern Iowa - 0.1%,7 Richmond - 0.0%
11 Old Dominion - 17.2%,9 Wake Forest - 1.2%,8 UNLV - 0.3%,13 Murray State - 0.1%,10 Saint Mary's - 0.1%,13 Houston - 0.0%
12 New Mexico State - 9.8%,9 Northern Iowa - 0.9%,15 North Texas - 0.3%,9 Northern Iowa - 0.1%,13 Houston - 0.0%,11 San Diego State - 0.0%
13 Houston - 9.8%,13 Wofford - 0.9%,15 Morgan State - 0.2%,8 UNLV - 0.1%,11 San Diego State - 0.0%,12 Utah State - 0.0%
13 Wofford - 4.5%,14 Montana - 0.8%,15 UC Santa Barbara - 0.2%,11 San Diego State - 0.1%,12 Utah State - 0.0%,10 Saint Mary's - 0.0%
14 Montana - 4.2%,14 Ohio - 0.7%,16 Vermont - 0.2%,13 Houston - 0.1%,13 Murray State - 0.0%,12 New Mexico State - 0.0%
14 Oakland - 2.5%,8 UNLV - 0.7%,15 Robert Morris - 0.2%,11 Old Dominion - 0.1%,12 New Mexico State - 0.0%,14 Ohio - 0.0%
14 Ohio - 2.4%,14 Oakland - 0.7%,13 Houston - 0.2%,14 Oakland - 0.1%,14 Ohio - 0.0%,15 UC Santa Barbara - 0.0%
14 Sam Houston State - 2.1%,14 Sam Houston State - 0.6%,16 Lehigh - 0.2%,15 North Texas - 0.1%,15 UC Santa Barbara - 0.0%,13 Murray State - 0.0%
15 North Texas - 1.1%,15 North Texas - 0.4%,16 East Tennessee State - 0.2%,14 Montana - 0.1%,14 Oakland - 0.0%,14 Oakland - 0.0%
15 UC Santa Barbara - 1.0%,15 Morgan State - 0.4%,16 AR-Pine Bluff - 0.2%,12 New Mexico State - 0.0%,15 North Texas - 0.0%,15 North Texas - 0.0%
15 Morgan State - 1.0%,15 UC Santa Barbara - 0.4%,14 Ohio - 0.2%,14 Ohio - 0.0%,13 Wofford - 0.0%,13 Wofford - 0.0%
15 Robert Morris - 0.9%,15 Robert Morris - 0.4%,14 Montana - 0.2%,15 UC Santa Barbara - 0.0%,14 Montana - 0.0%,14 Montana - 0.0%
16 Vermont - 0.8%,16 Vermont - 0.3%,12 New Mexico State - 0.1%,13 Wofford - 0.0%,11 Old Dominion - 0.0%,15 Morgan State - 0.0%
16 East Tennessee State - 0.5%,16 Lehigh - 0.3%,14 Oakland - 0.1%,15 Morgan State - 0.0%,15 Robert Morris - 0.0%,11 Old Dominion - 0.0%
16 AR-Pine Bluff - 0.5%,16 East Tennessee State - 0.3%,13 Wofford - 0.1%,15 Robert Morris - 0.0%,15 Morgan State - 0.0%,14 Sam Houston State - 0.0%
16 Lehigh - 0.4%,16 AR-Pine Bluff - 0.2%,14 Sam Houston State - 0.1%,14 Sam Houston State - 0.0%,14 Sam Houston State - 0.0%,15 Robert Morris - 0.0%
