R64,R32,S16,E8,F4,NCG
12South Dakota St-20.9%,10Pitt-3.4%,15UNC Asheville-0.7%,10Temple-0.3%,12South Dakota St-0.1%,10Temple-0.1%
11Wichita St.-19.7%,13Hawaii-3.4%,15Weber State-0.7%,10VCU-0.3%,8Colorado-0.1%,11Northern Iowa-0.1%
11Northern Iowa-19.6%,9Cincinnati-2.8%,9Cincinnati-0.7%,9Cincinnati-0.3%,11Northern Iowa-0.1%,12South Dakota St-0.1%
13Stony Brook-11.1%,12Yale-2.7%,12Chattanooga-0.6%,12South Dakota St-0.2%,10VCU-0.1%,10VCU-0.0%
13Hawaii-10.9%,14Buffalo-1.8%,15Mid Tennessee-0.6%,8Colorado-0.2%,9Cincinnati-0.1%,15Weber State-0.0%
14Buffalo-5.9%,14SF Austin-1.7%,8Colorado-0.6%,12Chattanooga-0.2%,15CSU Bakersfield-0.1%,15Mid Tennessee-0.0%
14SF Austin-5.6%,14Green Bay-1.6%,12South Dakota St-0.6%,15Weber State-0.2%,15Weber State-0.1%,9Cincinnati-0.0%
14Green Bay-5.1%,14Fresno State-1.5%,16Holy Cross-0.5%,11Wichita St.-0.2%,15Mid Tennessee-0.1%,11Wichita St.-0.0%
13UNC Wilmington-3.6%,13UNC Wilmington-1.5%,16FGCU-0.5%,15CSU Bakersfield-0.2%,11Wichita St.-0.1%,12Chattanooga-0.0%
15CSU Bakersfield-3.6%,8Colorado-1.4%,16Hampton-0.5%,14SF Austin-0.2%,12Chattanooga-0.1%,13UNC Wilmington-0.0%
14Fresno State-3.3%,15CSU Bakersfield-1.4%,16Austin Peay-0.5%,15UNC Asheville-0.2%,13UNC Wilmington-0.1%,14Buffalo-0.0%
15UNC Asheville-2.9%,13Iona-1.3%,13Stony Brook-0.4%,15Mid Tennessee-0.2%,14Buffalo-0.1%,14SF Austin-0.0%
13Iona-2.9%,15UNC Asheville-1.3%,14SF Austin-0.4%,13UNC Wilmington-0.1%,14SF Austin-0.1%,14Fresno State-0.0%
15Weber State-2.6%,15Weber State-1.1%,13Hawaii-0.4%,13Stony Brook-0.1%,14Fresno State-0.1%,15UNC Asheville-0.0%
15Mid Tennessee-2.1%,15Mid Tennessee-1.0%,14Buffalo-0.4%,14Buffalo-0.1%,15UNC Asheville-0.1%,15CSU Bakersfield-0.0%
16Holy Cross-2.0%,16Holy Cross-0.9%,14Green Bay-0.4%,14Green Bay-0.1%,13Hawaii-0.1%,13Hawaii-0.0%
16Hampton-2.0%,16Hampton-0.8%,13UNC Wilmington-0.4%,13Hawaii-0.1%,13Iona-0.1%,13Stony Brook-0.0%
16FGCU-1.7%,16FGCU-0.8%,14Fresno State-0.4%,14Fresno State-0.1%,14Green Bay-0.1%,13Iona-0.0%
16Austin Peay-1.3%,16Austin Peay-0.7%,13Iona-0.3%,13Iona-0.1%,13Stony Brook-0.0%,14Green Bay-0.0%
