Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
4 Texas - 88.5%,3 Brigham Young - 51.0%,4 Louisville - 16.1%,3 Purdue - 7.0%,3 Purdue - 3.2%,3 Purdue - 0.9%
6 Georgetown - 83.9%,4 Wisconsin - 44.2%,4 Kentucky - 16.0%,4 Wisconsin - 6.5%,4 Wisconsin - 1.5%,4 Wisconsin - 0.5%
5 Arizona - 79.5%,5 Kansas State - 39.2%,4 Wisconsin - 12.4%,5 Kansas State - 5.7%,6 St. John's - 1.3%,6 St. John's - 0.4%
4 Wisconsin - 79.2%,6 St. John's - 35.7%,5 Kansas State - 11.4%,6 St. John's - 5.5%,5 Kansas State - 1.2%,5 Kansas State - 0.3%
5 West Virginia - 78.3%,6 Georgetown - 27.0%,6 Georgetown - 8.4%,10 Michigan St - 2.2%,10 Michigan St - 0.7%,10 Michigan St - 0.3%
7 Washington - 72.8%,5 Arizona - 26.2%,10 Michigan St - 7.9%,6 Georgetown - 1.4%,6 Georgetown - 0.6%,5 Arizona - 0.2%
5 Kansas State - 71.7%,5 West Virginia - 20.7%,7 Washington - 5.6%,5 Arizona - 1.4%,5 Arizona - 0.5%,7 Washington - 0.2%
6 St. John's - 66.1%,10 Michigan St - 18.8%,5 Arizona - 4.0%,7 Washington - 1.1%,7 Washington - 0.4%,8 Michigan - 0.2%
5 Vanderbilt - 62.1%,5 Vanderbilt - 16.0%,6 Xavier - 3.8%,5 West Virginia - 0.8%,5 West Virginia - 0.3%,5 West Virginia - 0.2%
8 Butler - 59.3%,7 Washington - 15.5%,11 Gonzaga - 3.1%,7 UCLA - 0.8%,7 UCLA - 0.3%,6 Georgetown - 0.2%
6 Xavier - 57.9%,6 Xavier - 14.0%,7 UCLA - 3.1%,8 Butler - 0.6%,8 Michigan - 0.3%,7 UCLA - 0.1%
6 Cincinnati - 57.3%,11 Gonzaga - 12.4%,6 Cincinnati - 2.8%,11 Gonzaga - 0.6%,5 Vanderbilt - 0.2%,9 Tennessee - 0.1%
10 Michigan St - 57.2%,12 Utah State - 11.0%,5 West Virginia - 2.7%,6 Xavier - 0.6%,8 Butler - 0.2%,9 Villanova - 0.1%
7 Temple - 55.7%,7 UCLA - 8.7%,7 Texas A&M; - 2.2%,5 Vanderbilt - 0.6%,11 Gonzaga - 0.2%,6 Xavier - 0.1%
9 Villanova - 54.2%,10 Penn State - 8.2%,8 Butler - 1.9%,8 Michigan - 0.5%,6 Xavier - 0.2%,9 Illinois - 0.1%
7 Texas A&M; - 54.0%,7 Temple - 8.2%,5 Vanderbilt - 1.8%,12 Utah State - 0.4%,9 Tennessee - 0.2%,7 Texas A&M; - 0.1%
9 Tennessee - 53.7%,6 Cincinnati - 8.1%,11 Missouri - 1.8%,6 Cincinnati - 0.4%,7 Texas A&M; - 0.2%,8 Butler - 0.1%
8 UNLV - 50.4%,7 Texas A&M; - 7.1%,12 Utah State - 1.5%,9 Tennessee - 0.4%,9 Villanova - 0.2%,11 Gonzaga - 0.1%
9 Illinois - 49.6%,12 Richmond - 6.6%,10 Florida State - 1.5%,9 Villanova - 0.4%,9 Illinois - 0.1%,11 Missouri - 0.1%
8 Michigan - 46.3%,11 Marquette - 6.2%,7 Temple - 1.2%,7 Texas A&M; - 0.4%,16 Boston University - 0.1%,10 Penn State - 0.1%
10 Florida State - 46.0%,11 Missouri - 6.0%,9 Old Dominion - 1.2%,9 Old Dominion - 0.4%,10 Florida State - 0.1%,16 Boston University - 0.1%
8 George Mason - 45.8%,10 Florida State - 5.6%,10 Penn State - 1.2%,10 Florida State - 0.3%,6 Cincinnati - 0.1%,5 Vanderbilt - 0.1%
10 Penn State - 44.3%,13 Belmont - 5.6%,11 Marquette - 1.2%,10 Penn State - 0.3%,12 Utah State - 0.1%,10 Georgia - 0.1%
7 UCLA - 42.8%,8 Butler - 4.8%,9 Villanova - 1.1%,9 Illinois - 0.3%,16 Hampton - 0.1%,6 Cincinnati - 0.1%
11 Missouri - 42.7%,13 Oakland - 4.2%,8 Michigan - 1.1%,11 Missouri - 0.3%,11 Missouri - 0.1%,10 Florida State - 0.1%
11 Marquette - 42.2%,12 Memphis - 4.1%,9 Tennessee - 1.0%,8 George Mason - 0.3%,10 Penn State - 0.1%,16 TX-San Antonio - 0.0%
9 Old Dominion - 40.7%,9 Old Dominion - 3.4%,8 George Mason - 0.8%,13 Belmont - 0.2%,8 George Mason - 0.1%,8 George Mason - 0.0%
12 Richmond - 37.9%,9 Villanova - 3.0%,9 Illinois - 0.8%,11 Marquette - 0.2%,16 TX-San Antonio - 0.1%,11 Marquette - 0.0%
11 Gonzaga - 33.9%,12 Clemson - 2.9%,13 Belmont - 0.7%,16 Boston University - 0.2%,11 Marquette - 0.1%,16 Hampton - 0.0%
12 Utah State - 28.3%,9 Tennessee - 2.9%,10 Georgia - 0.6%,7 Temple - 0.2%,10 Georgia - 0.1%,12 Memphis - 0.0%
10 Georgia - 27.2%,8 Michigan - 2.4%,8 UNLV - 0.5%,8 UNLV - 0.2%,9 Old Dominion - 0.1%,12 Utah State - 0.0%
12 Clemson - 21.7%,11 VCU - 2.4%,12 Richmond - 0.5%,16 Hampton - 0.2%,13 Belmont - 0.1%,13 Belmont - 0.0%
13 Belmont - 20.8%,10 Georgia - 2.4%,12 Memphis - 0.4%,16 UNC Asheville - 0.2%,8 UNLV - 0.1%,12 Clemson - 0.0%
12 Memphis - 20.5%,8 George Mason - 2.1%,13 Oakland - 0.4%,16 TX-San Antonio - 0.2%,16 UNC Asheville - 0.1%,13 Oakland - 0.0%
11 VCU - 16.1%,9 Illinois - 1.9%,11 VCU - 0.4%,12 Richmond - 0.2%,12 Memphis - 0.1%,7 Temple - 0.0%
13 Oakland - 11.5%,13 Princeton - 1.7%,12 Clemson - 0.3%,10 Georgia - 0.2%,13 Oakland - 0.1%,8 UNLV - 0.0%
14 Wofford - 5.4%,8 UNLV - 1.5%,15 Northern Colorado - 0.3%,12 Memphis - 0.2%,7 Temple - 0.1%,16 UNC Asheville - 0.0%
13 Princeton - 4.9%,13 Morehead State - 1.4%,16 Boston University - 0.3%,13 Oakland - 0.1%,12 Richmond - 0.1%,9 Old Dominion - 0.0%
13 Morehead State - 4.5%,14 Bucknell - 1.2%,15 Akron - 0.3%,12 Clemson - 0.1%,12 Clemson - 0.1%,13 Princeton - 0.0%
14 Bucknell - 3.5%,14 Indiana State - 1.0%,15 Long Island - 0.3%,11 VCU - 0.1%,13 Princeton - 0.0%,15 Northern Colorado - 0.0%
14 Indiana State - 3.0%,14 Wofford - 0.9%,15 UCSB - 0.3%,13 Princeton - 0.1%,11 VCU - 0.0%,12 Richmond - 0.0%
14 St. Peter's - 2.8%,14 St. Peter's - 0.8%,13 Princeton - 0.2%,14 Indiana State - 0.1%,15 Akron - 0.0%,11 VCU - 0.0%
15 Northern Colorado - 2.2%,15 Northern Colorado - 0.7%,16 UNC Asheville - 0.2%,15 Northern Colorado - 0.1%,14 Indiana State - 0.0%,15 Akron - 0.0%
15 UCSB - 1.6%,15 Akron - 0.5%,14 Bucknell - 0.2%,13 Morehead State - 0.1%,15 Northern Colorado - 0.0%,14 Indiana State - 0.0%
15 Akron - 1.5%,15 UCSB - 0.5%,16 Hampton - 0.2%,15 Akron - 0.1%,13 Morehead State - 0.0%,15 Long Island - 0.0%
15 Long Island - 1.1%,16 Boston University - 0.5%,16 TX-San Antonio - 0.2%,15 Long Island - 0.1%,14 Wofford - 0.0%,14 Bucknell - 0.0%
16 Boston University - 0.9%,15 Long Island - 0.5%,14 Indiana State - 0.2%,14 Bucknell - 0.1%,15 UCSB - 0.0%,13 Morehead State - 0.0%
16 UNC Asheville - 0.7%,16 UNC Asheville - 0.4%,13 Morehead State - 0.2%,14 St. Peter's - 0.1%,15 Long Island - 0.0%,14 St. Peter's - 0.0%
16 Hampton - 0.5%,16 TX-San Antonio - 0.3%,14 Wofford - 0.2%,14 Wofford - 0.1%,14 Bucknell - 0.0%,14 Wofford - 0.0%
16 TX-San Antonio - 0.5%,16 Hampton - 0.3%,14 St. Peter's - 0.2%,15 UCSB - 0.1%,14 St. Peter's - 0.0%,15 UCSB - 0.0%
