Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
9 Texas A&M; - 57.8%,13 Mississippi State - 9.6%,5 Illinois - 2.0%,8 Ohio State - 0.5%,10 Michigan - 0.2%,6 Arizona State - 0.1%
5 Utah - 55.6%,12 Arizona - 8.9%,9 Tennessee - 1.9%,7 Boston College - 0.4%,8 LSU - 0.2%,6 Marquette - 0.1%
9 Butler - 51.9%,10 USC - 8.6%,5 Utah - 1.4%,8 LSU - 0.4%,10 USC - 0.2%,12 Arizona - 0.1%
7 Boston College - 51.8%,12 Western Kentucky - 8.5%,8 LSU - 1.4%,5 Utah - 0.4%,7 Clemson - 0.2%,7 Clemson - 0.1%
9 Tennessee - 51.2%,12 Wisconsin - 7.0%,10 Michigan - 1.3%,10 USC - 0.4%,7 Boston College - 0.2%,10 USC - 0.1%
8 Oklahoma State - 48.8%,10 Maryland - 6.0%,8 Ohio State - 1.2%,10 Michigan - 0.4%,12 Arizona - 0.1%,16 Morehead St - 0.1%
10 USC - 48.2%,11 Utah State - 5.4%,13 Mississippi State - 1.2%,12 Arizona - 0.3%,5 Utah - 0.1%,7 Boston College - 0.1%
8 LSU - 48.1%,10 Michigan - 4.7%,8 Oklahoma State - 1.1%,8 Oklahoma State - 0.3%,9 Texas A&M; - 0.1%,9 Texas A&M; - 0.1%
12 Arizona - 44.4%,11 Virginia Commonwealth - 4.0%,9 Texas A&M; - 0.9%,9 Texas A&M; - 0.3%,13 Mississippi State - 0.1%,5 Utah - 0.1%
8 Brigham Young - 42.2%,9 Tennessee - 3.7%,11 Virginia Commonwealth - 0.9%,13 Mississippi State - 0.3%,16 Morehead St - 0.1%,13 Mississippi State - 0.1%
9 Siena - 39.8%,11 Temple - 3.3%,12 Arizona - 0.9%,7 California - 0.2%,7 California - 0.1%,12 Wisconsin - 0.1%
12 Western Kentucky - 39.0%,11 Dayton - 2.9%,7 California - 0.8%,9 Butler - 0.2%,8 Oklahoma State - 0.1%,10 Minnesota - 0.1%
7 California - 37.2%,8 LSU - 2.9%,9 Butler - 0.8%,12 Wisconsin - 0.2%,8 Brigham Young - 0.1%,8 Brigham Young - 0.0%
10 Michigan - 36.6%,8 Ohio State - 2.8%,12 Wisconsin - 0.6%,10 Minnesota - 0.2%,12 Wisconsin - 0.1%,7 California - 0.0%
11 Virginia Commonwealth - 28.4%,10 Minnesota - 2.6%,10 Minnesota - 0.6%,11 Virginia Commonwealth - 0.2%,10 Minnesota - 0.1%,8 Oklahoma State - 0.0%
11 Utah State - 25.9%,8 Oklahoma State - 2.5%,8 Brigham Young - 0.6%,8 Brigham Young - 0.2%,16 Radford - 0.1%,16 Chattanooga - 0.0%
13 Mississippi State - 25.9%,7 California - 2.4%,11 Utah State - 0.5%,11 Utah State - 0.2%,9 Butler - 0.1%,9 Butler - 0.0%
11 Temple - 25.8%,9 Texas A&M; - 2.4%,11 Temple - 0.5%,16 Chattanooga - 0.1%,16 East Tennessee State - 0.1%,9 Siena - 0.0%
10 Minnesota - 25.0%,13 Cleveland State - 2.2%,11 Dayton - 0.5%,16 Radford - 0.1%,16 Chattanooga - 0.1%,11 Dayton - 0.0%
12 Wisconsin - 21.1%,9 Butler - 2.2%,12 Western Kentucky - 0.5%,16 Morehead St - 0.1%,11 Utah State - 0.1%,14 North Dakota State - 0.0%
11 Dayton - 16.9%,12 Northern Iowa - 2.1%,9 Siena - 0.4%,16 East Tennessee State - 0.1%,12 Western Kentucky - 0.1%,11 Utah State - 0.0%
12 Northern Iowa - 10.7%,8 Brigham Young - 1.7%,14 North Dakota State - 0.3%,12 Western Kentucky - 0.1%,9 Siena - 0.0%,16 East Tennessee State - 0.0%
13 Portland State - 8.0%,14 North Dakota State - 1.4%,12 Northern Iowa - 0.2%,9 Siena - 0.1%,14 North Dakota State - 0.0%,11 Virginia Commonwealth - 0.0%
13 Cleveland State - 6.7%,13 Portland State - 1.3%,15 Binghamton - 0.2%,11 Temple - 0.1%,11 Virginia Commonwealth - 0.0%,16 Radford - 0.0%
14 North Dakota State - 5.2%,9 Siena - 1.1%,15 Morgan State - 0.2%,11 Dayton - 0.1%,11 Temple - 0.0%,12 Western Kentucky - 0.0%
13 Akron - 4.0%,13 Akron - 0.9%,15 Robert Morris - 0.2%,14 North Dakota State - 0.1%,11 Dayton - 0.0%,11 Temple - 0.0%
14 Cornell - 2.8%,14 Cornell - 0.7%,13 Cleveland State - 0.2%,14 American University - 0.1%,14 American University - 0.0%,13 Cleveland State - 0.0%
14 American University - 2.2%,14 American University - 0.6%,15 Cal State Northridge - 0.2%,13 Cleveland State - 0.1%,13 Akron - 0.0%,15 Robert Morris - 0.0%
14 Stephen F. Austin - 1.8%,14 Stephen F. Austin - 0.5%,16 Chattanooga - 0.2%,12 Northern Iowa - 0.1%,13 Cleveland State - 0.0%,12 Northern Iowa - 0.0%
15 Robert Morris - 1.1%,15 Binghamton - 0.4%,16 East Tennessee State - 0.2%,14 Cornell - 0.1%,15 Robert Morris - 0.0%,14 Cornell - 0.0%
15 Binghamton - 1.0%,15 Robert Morris - 0.4%,16 Radford - 0.2%,15 Binghamton - 0.1%,12 Northern Iowa - 0.0%,15 Cal State Northridge - 0.0%
15 Morgan State - 1.0%,15 Morgan State - 0.3%,16 Morehead St - 0.2%,13 Akron - 0.1%,14 Cornell - 0.0%,13 Portland State - 0.0%
15 Cal State Northridge - 0.6%,15 Cal State Northridge - 0.3%,14 American University - 0.2%,15 Robert Morris - 0.0%,15 Cal State Northridge - 0.0%,14 American University - 0.0%
16 Chattanooga - 0.6%,16 Chattanooga - 0.3%,14 Cornell - 0.1%,15 Cal State Northridge - 0.0%,13 Portland State - 0.0%,15 Binghamton - 0.0%
16 East Tennessee State - 0.6%,16 Radford - 0.3%,13 Portland State - 0.1%,13 Portland State - 0.0%,15 Binghamton - 0.0%,13 Akron - 0.0%
16 Radford - 0.5%,16 East Tennessee State - 0.2%,13 Akron - 0.1%,14 Stephen F. Austin - 0.0%,14 Stephen F. Austin - 0.0%,14 Stephen F. Austin - 0.0%
16 Morehead St - 0.4%,16 Morehead St - 0.2%,14 Stephen F. Austin - 0.1%,15 Morgan State - 0.0%,15 Morgan State - 0.0%,15 Morgan State - 0.0%
