R64,R32,S16,E8,F4,NCG
10Iowa-34.0%,10Seton Hall-5.3%,10Minnesota-1.4%,16Iona-0.5%,9Baylor-0.2%,10Minnesota-0.1%
10Minnesota-33.6%,10Iowa-4.9%,8Utah State-1.3%,9Washington-0.5%,8Ole Miss-0.2%,10Iowa-0.1%
9Baylor-33.3%,13Saint Louis-4.8%,9Washington-1.3%,16F. Dickinson-0.5%,16F. Dickinson-0.2%,10Seton Hall-0.1%
11Ohio State-28.7%,9Oklahoma-4.6%,13UC Irvine-1.2%,10Iowa-0.5%,8Utah State-0.2%,16NDS/NCC-0.1%
11Belmont-26.1%,8Ole Miss-4.2%,11Belmont-1.1%,16NDS/NCC-0.5%,10Iowa-0.2%,8Ole Miss-0.1%
12Liberty-25.3%,11ASU/SJU-3.9%,9UCF-1.1%,8Utah State-0.5%,9UCF-0.2%,9Baylor-0.1%
11Saint Mary's-23.4%,9Baylor-3.8%,14Yale-1.0%,9UCF-0.4%,10Minnesota-0.2%,15Abil Christian-0.1%
13UC Irvine-19.9%,10Minnesota-3.8%,12New Mexico St-1.0%,13UC Irvine-0.4%,11Saint Mary's-0.2%,11Saint Mary's-0.1%
11ASU/SJU-19.5%,13Vermont-3.8%,15Bradley-1.0%,10Minnesota-0.4%,15Abil Christian-0.2%,14Yale-0.1%
12New Mexico St-18.4%,8Utah State-3.2%,15Montana-1.0%,8VCU-0.4%,14Yale-0.2%,8VCU-0.1%
14Yale-16.4%,9Washington-3.1%,15Colgate-1.0%,12New Mexico St-0.4%,8VCU-0.2%,11ASU/SJU-0.1%
13Saint Louis-12.9%,14Georgia State-2.9%,15Abil Christian-1.0%,14Yale-0.3%,13UC Irvine-0.2%,13UC Irvine-0.1%
13Vermont-11.9%,13Northeastern-2.9%,11ASU/SJU-0.9%,11ASU/SJU-0.3%,11ASU/SJU-0.1%,16F. Dickinson-0.1%
13Northeastern-10.9%,14N Kentucky-2.9%,16Gardner-Webb-0.9%,15Abil Christian-0.3%,12New Mexico St-0.1%,12Liberty-0.1%
14Old Dominion-10.2%,14Old Dominion-2.8%,8VCU-0.9%,12Liberty-0.3%,12Liberty-0.1%,12New Mexico St-0.1%
14Georgia State-9.3%,9UCF-2.4%,16Iona-0.8%,15Montana-0.3%,13Saint Louis-0.1%,13Saint Louis-0.1%
14N Kentucky-8.3%,8VCU-2.1%,13Vermont-0.8%,11Belmont-0.3%,15Montana-0.1%,13Northeastern-0.1%
15Montana-4.4%,15Colgate-1.8%,16F. Dickinson-0.8%,13Saint Louis-0.3%,13Vermont-0.1%,11Belmont-0.1%
15Colgate-4.3%,15Bradley-1.8%,14Old Dominion-0.7%,13Vermont-0.3%,13Northeastern-0.1%,13Vermont-0.1%
15Bradley-4.1%,15Montana-1.8%,16NDS/NCC-0.7%,15Colgate-0.3%,14Old Dominion-0.1%,14Old Dominion-0.1%
15Abil Christian-3.7%,15Abil Christian-1.7%,14Georgia State-0.7%,13Northeastern-0.3%,14Georgia State-0.1%,14Georgia State-0.1%
16Gardner-Webb-3.4%,16Gardner-Webb-1.6%,12Liberty-0.7%,14Old Dominion-0.3%,15Bradley-0.1%,15Bradley-0.1%
16F. Dickinson-3.0%,16Iona-1.4%,13Saint Louis-0.7%,15Bradley-0.3%,15Colgate-0.1%,15Montana-0.1%
16Iona-2.8%,16F. Dickinson-1.3%,13Northeastern-0.7%,14Georgia State-0.3%,11Belmont-0.1%,15Colgate-0.1%
16NDS/NCC-2.3%,16NDS/NCC-1.2%,14N Kentucky-0.7%,14N Kentucky-0.3%,14N Kentucky-0.1%,14N Kentucky-0.0%
