R64,R32,S16,E8,F4,NCG
8UNC-68.3%,6Memphis-14.5%,5Oklahoma St-3.8%,5Oklahoma St-1.2%,8NC State-0.4%,5Oklahoma St-0.2%
8Pittsburgh-68.1%,8Pittsburgh-12.5%,8Pittsburgh-3.6%,6UCLA-1.0%,7Notre Dame-0.4%,6UCLA-0.2%
7Illinois-65.1%,6UCLA-11.2%,6UCLA-3.5%,8NC State-1.0%,6UCLA-0.4%,7Notre Dame-0.2%
9Missouri-64.8%,8UNC-10.9%,7Illinois-2.9%,8Pittsburgh-0.9%,12Oregon-0.3%,9Missouri-0.2%
7Notre Dame-62.3%,11Minnesota-9.1%,8NC State-2.8%,5UNLV-0.8%,8Pittsburgh-0.3%,12Oregon-0.2%
5Oklahoma St-58.3%,7Creighton-8.5%,5UNLV-2.6%,12Ole Miss-0.7%,9Missouri-0.3%,7Illinois-0.1%
7San Diego St-57.3%,7Notre Dame-8.5%,12Ole Miss-2.4%,12Oregon-0.7%,5UNLV-0.3%,8Pittsburgh-0.1%
7Creighton-55.6%,12Ole Miss-8.0%,7Creighton-2.4%,7Illinois-0.6%,7Illinois-0.3%,11Minnesota-0.1%
6UCLA-51.6%,7Illinois-7.1%,11Minnesota-2.3%,7Creighton-0.6%,12Ole Miss-0.3%,12Ole Miss-0.1%
11Minnesota-48.4%,8NC State-6.4%,12Oregon-1.9%,11Minnesota-0.5%,7Creighton-0.2%,5UNLV-0.1%
10Cincinnati-44.4%,7San Diego St-6.3%,9Missouri-1.6%,9Missouri-0.5%,11Minnesota-0.2%,16W Kentucky-0.1%
10Oklahoma-42.7%,11Bucknell-5.5%,10Iowa State-1.5%,9Villanova-0.4%,16W Kentucky-0.2%,7Creighton-0.1%
12Oregon-41.7%,11Belmont-5.1%,7San Diego St-1.4%,10Iowa State-0.4%,9Villanova-0.2%,9Villanova-0.1%
10Iowa State-37.7%,10Cincinnati-4.6%,9Villanova-1.3%,7San Diego St-0.3%,10Iowa State-0.2%,10Iowa State-0.1%
8Colorado St-35.2%,14Davidson-4.1%,10Cincinnati-1.1%,16W Kentucky-0.3%,16NC A&T;-0.1%,16NC A&T;-0.1%
10Colorado-34.9%,10Iowa State-3.9%,10Oklahoma-0.9%,10Cincinnati-0.3%,16Southern U-0.1%,16JMU-0.1%
9Wichita State-31.9%,10Oklahoma-3.9%,10Colorado-0.9%,16NC A&T;-0.3%,16JMU-0.1%,7San Diego St-0.1%
9Villanova-31.7%,12California-3.8%,9Wichita State-0.8%,16JMU-0.3%,7San Diego St-0.1%,10Cincinnati-0.1%
9Temple-30.4%,9Villanova-3.6%,11Belmont-0.7%,16Southern U-0.3%,10Cincinnati-0.1%,10Oklahoma-0.1%
11Belmont-25.7%,9Missouri-3.4%,11Bucknell-0.7%,9Wichita State-0.2%,10Colorado-0.1%,10Colorado-0.1%
12California-25.3%,9Wichita State-3.3%,9Temple-0.6%,10Oklahoma-0.2%,9Temple-0.1%,14Harvard-0.1%
11St. Mary's-20.1%,13N Mexico St-2.7%,14Davidson-0.5%,10Colorado-0.2%,10Oklahoma-0.1%,16Southern U-0.1%
12Ole Miss-20.0%,10Colorado-2.5%,8Colorado St-0.5%,9Temple-0.2%,8Colorado St-0.1%,8Colorado St-0.0%
11Bucknell-19.9%,11St. Mary's-2.5%,11St. Mary's-0.5%,11Bucknell-0.2%,9Wichita State-0.1%,9Temple-0.0%
14Davidson-14.3%,13SD State-2.1%,12California-0.5%,11Belmont-0.2%,14Harvard-0.1%,9Wichita State-0.0%
13N Mexico St-11.1%,13Montana-1.8%,15Florida Gulf-0.5%,12California-0.2%,12California-0.1%,11Bucknell-0.0%
12Akron-10.3%,9Temple-1.8%,15Albany-0.4%,8Colorado St-0.2%,14Davidson-0.1%,12Akron-0.0%
13SD State-7.4%,12Akron-1.6%,15Pacific-0.4%,14Davidson-0.2%,11Bucknell-0.1%,12California-0.0%
13LaSalle-6.1%,14Harvard-1.6%,16W Kentucky-0.4%,14Harvard-0.2%,12Akron-0.1%,13SD State-0.0%
13Montana-5.8%,14Valparaiso-1.6%,15Iona-0.4%,11St. Mary's-0.1%,13SD State-0.1%,14Davidson-0.0%
14Harvard-5.6%,8Colorado St-1.5%,16NC A&T;-0.4%,12Akron-0.1%,15Albany-0.1%,15Albany-0.0%
14Valparaiso-4.2%,13LaSalle-1.3%,16Southern U-0.4%,13SD State-0.1%,11St. Mary's-0.1%,15Florida Gulf-0.0%
14NW State-2.4%,15Florida Gulf-1.0%,16JMU-0.4%,15Albany-0.1%,11Belmont-0.1%,11St. Mary's-0.0%
15Florida Gulf-2.3%,14NW State-0.8%,13SD State-0.4%,14Valparaiso-0.1%,13Montana-0.1%,11Belmont-0.0%
15Iona-1.8%,15Iona-0.7%,14Harvard-0.3%,15Florida Gulf-0.1%,14Valparaiso-0.1%,13N Mexico St-0.0%
15Albany-1.6%,15Albany-0.7%,13N Mexico St-0.3%,13N Mexico St-0.1%,15Florida Gulf-0.1%,13LaSalle-0.0%
15Pacific-1.5%,15Pacific-0.7%,14Valparaiso-0.3%,13Montana-0.1%,13N Mexico St-0.0%,13Montana-0.0%
16Southern U-1.5%,16W Kentucky-0.6%,13Montana-0.3%,15Pacific-0.1%,13LaSalle-0.0%,14Valparaiso-0.0%
16W Kentucky-1.4%,16Southern U-0.6%,12Akron-0.3%,13LaSalle-0.1%,15Iona-0.0%,14NW State-0.0%
16JMU-1.0%,16JMU-0.5%,13LaSalle-0.3%,15Iona-0.1%,15Pacific-0.0%,15Iona-0.0%
16NC A&T;-0.9%,16NC A&T;-0.5%,14NW State-0.2%,14NW State-0.1%,14NW State-0.0%,15Pacific-0.0%
